Year,Number of Men's Sports,Number of Women's Sports
1894,1,0
1895,1,0
1896,1,0
1897,1,0
1898,1,0
1899,1,0
1900,1,0
1901,2,0
1902,2,0
1903,2,0
1904,2,0
1905,3,0
1906,3,0
1907,6,0
1908,6,1
1909,6,1
1910,6,1
1911,6,1
1912,9,1
1913,10,1
1914,10,1
1915,10,1
1916,10,1
1917,10,1
1918,10,1
1919,10,1
1920,11,1
1921,11,1
1922,11,1
1923,12,1
1924,12,2
1925,12,2
1926,12,2
1927,12,2
1928,13,2
1929,13,2
1930,14,2
1931,14,2
1932,14,2
1933,14,2
1934,14,2
1935,14,2
1936,15,2
1937,15,2
1938,16,2
1939,16,3
1940,16,3
1941,16,3
1942,16,3
1943,16,3
1944,16,3
1945,16,3
1946,16,3
1947,16,3
1948,17,3
1949,17,3
1950,17,3
1951,17,3
1952,18,3
1953,18,3
1954,18,3
1955,18,3
1956,19,3
1957,19,3
1958,19,3
1959,19,3
1960,19,3
1961,19,3
1962,19,3
1963,19,3
1964,19,3
1965,19,3
1966,19,3
1967,19,3
1968,20,3
1969,20,3
1970,21,3
1971,21,3
1972,21,3
1973,21,3
1974,21,7
1975,21,9
1976,21,10
1977,21,13
1978,21,13
1979,21,15
1980,21,16
1981,21,16
1982,21,17
1983,21,17
1984,21,17
1985,21,18
1986,22,18
1987,22,18
1988,23,18
1989,23,18
1990,23,18
1991,23,18
1992,23,18
1993,23,19
1994,23,19
1995,23,19
1996,23,19
1997,23,19
1998,23,19
1999,23,19
2000,23,20
2001,23,20
2002,23,20
2003,23,20
2004,23,20
2005,23,20
2006,23,20
2007,23,20
2008,23,20
2009,17,20
2010,17,15
2011,17,15
2012,17,15
2013,17,15
2014,17,15
2015,17,15
2016,17,15